Position,Track Name,Artist,Streams,Week,Month,Year,Artist Followers,Artist Genre,Artist Popularity,Track Popularity,Track Duration (ms),Album Name,Album Total Tracks,Album Released Date,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
63,LA NOCHE DE ANOCHE,Bad Bunny,2221758,1,January,2021,29035650,canadian contemporary r&b,98,66,237522,The Highlights,18,2021-02-05,0.00248,0.667,0.721,6.24e-05,7,0.0753,-5.349,0,0.033,100.018,4,0.703
64,Hayloft,Mother Mother,2217223,1,January,2021,2102867,contemporary country,81,75,144533,Glad You Exist,1,2021-02-05,0.235,0.748,0.551,0.0,11,0.119,-6.12,1,0.0349,103.953,4,0.66
65,Wonder,Shawn Mendes,2203489,1,January,2021,1434127,contemporary country,92,76,293706,Dangerous: The Double Album,30,2021-01-08,0.232,0.549,0.44,7.37e-06,7,0.107,-8.192,1,0.0264,128.01,3,0.214
66,Still Trappin (with King Von),Lil Durk,2184191,1,January,2021,4114880,brooklyn drill,94,86,190534,Shoot For The Stars Aim For The Moon (Deluxe),34,2020-07-20,0.0187,0.905,0.647,0.0,10,0.282,-5.065,0,0.107,130.97,4,0.367
67,Sofia,Clairo,2182804,1,January,2021,6049240,album rock,85,84,257800,Rumours (Super Deluxe),58,1977-02-04,0.0644,0.828,0.492,0.00428,0,0.128,-9.744,1,0.0276,120.151,4,0.789
68,Holy (feat. Chance The Rapper),Justin Bieber,2182101,1,January,2021,9190663,atl hip hop,89,82,195906,SAVAGE MODE II,15,2020-10-02,0.00748,0.819,0.626,0.101,10,0.167,-4.574,0,0.202,143.01,4,0.415
69,More Than My Hometown,Morgan Wallen,2173260,1,January,2021,29275914,k-pop,97,90,199053,BE,8,2020-11-20,0.0112,0.746,0.765,0.0,6,0.0936,-4.41,0,0.0993,114.044,4,0.737
70,Before You Go,Lewis Capaldi,2150346,1,January,2021,1434127,contemporary country,92,74,186293,Still Goin Down,1,2020-11-19,0.49,0.58,0.751,0.0,7,0.277,-5.078,1,0.0267,148.108,4,0.718
71,Dead Man Walking,Brent Faiyaz,2144261,1,January,2021,25256123,dance pop,90,89,186087,Baila Conmigo (with Rauw Alejandro),1,2021-01-29,0.0221,0.824,0.545,0.00375,5,0.097,-7.127,1,0.0699,149.912,4,0.683
72,Adore You,Harry Styles,2143517,1,January,2021,25390701,emo rap,94,86,119133,17,11,2017-08-25,0.469,0.872,0.391,4.13e-06,0,0.297,-9.144,0,0.242,134.021,4,0.437
73,Mr. Right Now (feat. Drake),21 Savage,2136412,1,January,2021,1350194,australian hip hop,92,82,126521,SO DONE,1,2020-10-23,0.232,0.719,0.598,0.0,9,0.115,-6.254,1,0.077,142.592,4,0.303
74,7 Summers,Morgan Wallen,2126292,1,January,2021,12619540,conscious hip hop,88,83,292986,2014 Forest Hills Drive,13,2014-12-09,0.301,0.692,0.521,0.0,10,0.0565,-8.465,0,0.33,100.45,4,0.463
75,PRACTICE,DaBaby,2123647,1,January,2021,1360861,dmv rap,83,82,247079,Dead Man Walking,1,2020-09-18,0.279,0.505,0.267,0.0,9,0.096,-13.763,0,0.05,143.929,4,0.439
76,"no body, no crime (feat. HAIM)",Taylor Swift,2115591,1,January,2021,65361,australian hip hop,79,88,132780,Astronaut In The Ocean,1,2021-01-06,0.175,0.778,0.695,0.0,4,0.15,-6.865,0,0.0913,149.996,4,0.472
77,Moonwalking in Calabasas (feat. Blueface) - Remix,DDG,2099998,1,January,2021,1265645,indie pop,83,84,181680,O My Heart,12,2008-09-23,0.00475,0.527,0.922,0.000162,9,0.422,-2.666,0,0.0728,95.975,4,0.49
