,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
156,I'll Be Fine Somehow - Recorded at Spotify Studios Stockholm,Benjamin Ingrosso,150627,https://open.spotify.com/track/7bWxEJjDCSTkjTzJMZ6VKL
157,Tappat,Victor Leksell,150540,https://open.spotify.com/track/2jPCvYRyIXQf2if8CTyabC
158,Señorita,Shawn Mendes,150232,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
159,Chocolate (feat. Fricky),K27,149404,https://open.spotify.com/track/5DiaElhfL5bNmxPyYR5FNe
160,FLYT,Z.E,149397,https://open.spotify.com/track/2y8AsD76fBMipxfs2cxdXV
161,Beautiful People (feat. Khalid),Ed Sheeran,149050,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
162,I’m Ready (with Demi Lovato),Sam Smith,148852,https://open.spotify.com/track/1fipvP2zmef6vN2IwXfJhY
163,Kingdom Come,Anna Bergendahl,148006,https://open.spotify.com/track/0ZoxdGmVIGzxUSi6nkQ98G
164,Puss,Ant Wan,147793,https://open.spotify.com/track/0PoPFCqGko4AL75oEvsnyc
165,Lucid Dreams,Juice WRLD,146951,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
166,Då börjar fåglar sjunga,Miss Li,146675,https://open.spotify.com/track/7FemQvLSKHlBYsIM3PoCs8
167,F.A.M.E (LeyLey),Newkid,144967,https://open.spotify.com/track/1ihZhbG3Ulj5IonDcUC0Yw
168,Physical,Dua Lipa,144830,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
169,Some Say,Nea,144502,https://open.spotify.com/track/4poybupy26pTWPr9zY1i7h
170,ANNA BOOK,Frej Larsson,143940,https://open.spotify.com/track/4yxr3khkHJypQDArNlVbjZ
171,Don't Stop Believin',Journey,143453,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
172,Tillsammans i mörker,Håkan Hellström,143017,https://open.spotify.com/track/1zG7zVPxYJODZ0Vfic31kR
173,Första klivet,Lellow,142201,https://open.spotify.com/track/3rUb2v8JnqDwcQ3v3Yr057
174,Complicated,Miss Li,140727,https://open.spotify.com/track/14RLxOJGYs6BkLnvZYZisy
175,En säng av rosor,Newkid,140639,https://open.spotify.com/track/116bEFljiFEDt0zaHYcgWx
176,Happy Now,Kygo,139916,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
177,Madame,Ant Wan,139387,https://open.spotify.com/track/7b9BLva0O3RlUoj7JSYg3o
178,After Hours,The Weeknd,139231,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
