,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
120,Mon Fre - feat. Emis Killa,Shiva,325635,https://open.spotify.com/track/4dDMgEj5GpBTI1lvVlYPu7
121,Sei bella come Roma,DANDY TURNER,322536,https://open.spotify.com/track/51MYYyG3fjM3rttqRByqTl
122,Me ne frego,Achille Lauro,321977,https://open.spotify.com/track/1MF3gav7PNaNkv7ohlBKBD
123,Bossoli,Shiva,320571,https://open.spotify.com/track/5mn8bU8IjYqr8ZqTDmLtSO
124,Barrio,Mahmood,319623,https://open.spotify.com/track/1MCSc1ZxlwV5muFXKocAnW
125,ENFASI,Sierra,318730,https://open.spotify.com/track/77VwA6u9JEb4WG5lWSkvU6
126,Playa,Baby K,318616,https://open.spotify.com/track/7bBIBrSmHvdMlTC7b9p8Vq
127,RAP SHIT (feat. tha Supreme & Gemitaiz) - prod. STABBER,Nitro,314989,https://open.spotify.com/track/2Fbj0y0HEUKCZkUsI71PUx
128,90MIN,Salmo,312265,https://open.spotify.com/track/3Ls9yKzshQye18Tx2AvOb6
129,Say So,Doja Cat,309910,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
130,Rossetto,Random,309589,https://open.spotify.com/track/4nWtDExgGzlOQwxmp5JjUT
131,GANG (feat. Geolier),Samurai Jay,306234,https://open.spotify.com/track/2Yd6hF9rBSibtF4hlcnBEw
132,Ride It,Regard,302393,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
133,In Your Eyes,The Weeknd,302353,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
134,Godzilla (feat. Juice WRLD),Eminem,301093,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
135,Señorita,Shawn Mendes,299814,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
136,LOVE BANDANA,Ketama126,297989,https://open.spotify.com/track/15hXSWGLcvtUZLtzCY7E0Q
137,Muévelo,Nicky Jam,297211,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
138,MALA SANTA,Becky G,294531,https://open.spotify.com/track/5e50NiIlOc2YJIftHzoehd
139,Auto Blu - Remix,Shiva,294068,https://open.spotify.com/track/3Mupcf9coCQn2ed6osusfT
140,Candy,VillaBanks,293528,https://open.spotify.com/track/3a3EzSxWvDno8RpTMv7Xch
141,Astronomia,Vicetone,292640,https://open.spotify.com/track/665AK0ovB11McZRwfa852G
142,Cenere,Nashley,292483,https://open.spotify.com/track/45xyKCey4BM3fMeFEsF1Hp
143,Regina Coeli,Carl Brave,291086,https://open.spotify.com/track/5Ajd1Pr5GkoBbdC1D43ysH
